iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
94,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL1) ↔ 'Alien Blues' (PL3),2900
95,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'I'm Good (Blue)' (PL2) ↔ 'I Ain't Worried' (PL4),2900
96,2.5164,2898,2827,71,0.0,Não,Substituição em PL2: 'Glimpse of Us' → 'Take a razor to your head',2900
97,2.5164,2898,2862,36,1e-06,Não,Substituição em PL1: 'Alien Blues' → 'The Born King',2900
98,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL3) ↔ 'As It Was' (PL2),2900
99,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Ce que tu ne sais pas' (PL4) ↔ 'As It Was' (PL3),2900
100,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'La Bachata' (PL4) ↔ 'Levels - Radio Edit' (PL2),2900
101,0.75492,2898,2898,0,1.0,Sim,Troca inter-playlist: 'I Ain't Worried' (PL2) ↔ 'Neverita' (PL4),2900
102,0.75492,2898,2844,54,0.0,Não,Substituição em PL3: 'Before I Forget' → 'Granada - Live From The Detroit Opera House',2900
103,0.75492,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Through My Fingers' (PL1) ↔ 'Levels - Radio Edit' (PL4),2900
104,0.75492,2898,2891,7,9.4e-05,Não,"Substituição em PL3: 'Ce que tu ne sais pas' → 'Guitarras, Lloren Guitarras - Remastered'",2900
105,0.75492,2898,2900,-2,1.0,Sim,Substituição em PL4: 'Jamais Serão' → 'Low of Solipsism',2900
106,0.75492,2900,2836,64,0.0,Não,Substituição em PL4: 'As It Was' → 'Trying To Breathe',2900
107,0.75492,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL2) ↔ 'Low of Solipsism' (PL4),2900
108,0.75492,2900,2802,98,0.0,Não,Substituição em PL4: 'I'm Good (Blue)' → 'Yo Me Quedo',2900
109,0.75492,2900,2836,64,0.0,Não,Substituição em PL2: 'Unholy (feat. Kim Petras)' → 'Hello',2900
110,0.75492,2900,2864,36,0.0,Não,Substituição em PL2: 'Glimpse of Us' → 'Roll The Dice (feat. Stamina MC & Lily Allen)',2900
111,0.75492,2900,2925,-25,1.0,Sim,Substituição em PL4: 'Roll Your Hands' → 'The Garbage Truck Song',2900
112,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL4) ↔ 'Neverita' (PL2),2925
113,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'Low of Solipsism' (PL2) ↔ 'As It Was' (PL4),2925
114,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'Super Freaky Girl' (PL2) ↔ 'The Garbage Truck Song' (PL4),2925
115,0.75492,2925,2862,63,0.0,Não,Substituição em PL4: 'I'm Good (Blue)' → 'Ruperta',2925
116,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'La Bachata' (PL2) ↔ 'I'm Good (Blue)' (PL4),2925
